date,rolling_exposure,rolling_trade_density,rolling_sharpe,rolling_drawdown
2018-09-21,70.23809523809523,44.0,1.780582745317241,-0.0871777036518201
2018-09-24,69.84126984126983,44.0,1.8567211906247683,-0.0871777036518201
2018-09-25,69.44444444444444,44.0,1.8698778347493323,-0.0871777036518201
2018-09-26,69.04761904761905,44.0,1.8920409370990907,-0.0871777036518201
2018-09-27,68.65079365079364,44.0,1.7762197006375264,-0.0871777036518201
2018-09-28,68.65079365079364,45.0,2.037643353258302,-0.0871777036518201
2018-10-01,68.65079365079364,45.0,2.158186233943239,-0.0871777036518201
2018-10-02,68.65079365079364,45.0,2.063167151106974,-0.0871777036518201
2018-10-03,68.65079365079364,45.0,2.1246488607946783,-0.0871777036518201
2018-10-04,68.65079365079364,45.0,2.06837780761965,-0.0871777036518201
2018-10-05,68.65079365079364,45.0,1.9473686000590917,-0.0871777036518201
2018-10-08,68.65079365079364,45.0,1.8641515793882109,-0.0871777036518201
2018-10-09,68.65079365079364,45.0,1.9311769377053227,-0.0871777036518201
2018-10-10,68.65079365079364,45.0,1.7511988915468137,-0.0871777036518201
2018-10-11,68.65079365079364,45.0,1.6159462334338586,-0.0871777036518201
2018-10-12,68.65079365079364,45.0,1.5769562593043582,-0.0871777036518201
2018-10-15,68.65079365079364,45.0,1.6422215553496544,-0.0871777036518201
2018-10-16,68.65079365079364,45.0,1.595429421099312,-0.0871777036518201
2018-10-17,69.04761904761905,44.0,1.4901671809666577,-0.0871777036518201
2018-10-18,69.44444444444444,44.0,1.4320587685013915,-0.0871777036518201
2018-10-19,69.84126984126983,44.0,1.4674275178395622,-0.0871777036518201
2018-10-22,70.23809523809523,44.0,1.4711003246564487,-0.0871777036518201
2018-10-23,70.23809523809523,43.0,1.1549034782009597,-0.11414995943910089
2018-10-24,70.63492063492063,42.0,1.1354693946655143,-0.11727894309885278
2018-10-25,71.03174603174604,42.0,1.1874539792252081,-0.11727894309885278
2018-10-26,71.42857142857143,42.0,1.2395515609087762,-0.11727894309885278
2018-10-29,71.82539682539682,42.0,1.2188508793529111,-0.11727894309885278
2018-10-30,71.42857142857143,42.0,1.2717130083641,-0.11727894309885278
2018-10-31,71.42857142857143,43.0,1.2180071937261345,-0.11727894309885278
2018-11-01,71.42857142857143,43.0,1.0045854435275487,-0.14009042945759576
2018-11-02,71.03174603174604,44.0,1.0401916675257317,-0.1402194158931772
2018-11-05,70.63492063492063,44.0,1.0723793576906635,-0.1402194158931772
2018-11-06,70.23809523809523,44.0,1.1605791460424255,-0.1402194158931772
2018-11-07,69.84126984126983,44.0,1.1918322092391396,-0.1402194158931772
2018-11-08,69.44444444444444,44.0,1.2394972456676157,-0.1402194158931772
2018-11-09,69.04761904761905,44.0,1.1235214461400034,-0.1402194158931772
2018-11-12,69.04761904761905,45.0,1.1738697214186127,-0.1402194158931772
2018-11-13,68.65079365079364,46.0,1.141685127334338,-0.1402194158931772
2018-11-14,68.25396825396825,46.0,1.0761736510189719,-0.1402194158931772
2018-11-15,67.85714285714286,46.0,1.0557590977739226,-0.1402194158931772
2018-11-16,67.46031746031747,46.0,1.0284385898055763,-0.1402194158931772
2018-11-19,67.06349206349206,46.0,1.0302199129783771,-0.1402194158931772
2018-11-20,67.06349206349206,47.0,0.6470495728732047,-0.19474036959080743
2018-11-21,67.06349206349206,47.0,0.7680135728999323,-0.19474036959080743
2018-11-22,67.06349206349206,47.0,0.6840029742399125,-0.19474036959080743
2018-11-23,67.06349206349206,47.0,0.2578917640119091,-0.24277520761137827
2018-11-26,67.06349206349206,47.0,0.5012111141222266,-0.24277520761137827
2018-11-27,67.06349206349206,47.0,0.4458538112486175,-0.24277520761137827
2018-11-28,67.06349206349206,47.0,0.45653804145033827,-0.24329032651776528
2018-11-29,67.06349206349206,47.0,0.44071776239933436,-0.24329032651776528
2018-11-30,67.06349206349206,47.0,0.30680279750281886,-0.24329032651776528
2018-12-03,67.46031746031747,46.0,0.4887018662922716,-0.24329032651776528
2018-12-04,67.85714285714286,46.0,0.5199083252235763,-0.24329032651776528
2018-12-05,67.85714285714286,45.0,0.5506047251847827,-0.24329032651776528
2018-12-06,67.85714285714286,45.0,0.35803507904289955,-0.24329032651776528
2018-12-07,67.85714285714286,45.0,0.49282630663943666,-0.24329032651776528
