strategy,parameter_template,sharpe,cagr,drawdown,param_1,param_2,param_3
vol_lowtrend_20_60_0.5,vol_lowtrend_{p}_{p}_{p},0.4890105455923704,0.08399012062323008,-0.3231024780191194,20.0,60.0,0.5
vol_lowtrend_20_20_0.6,vol_lowtrend_{p}_{p}_{p},0.4538521016820694,0.07918226118839145,-0.389859278380027,20.0,20.0,0.6
vol_lowtrend_60_10_0.6,vol_lowtrend_{p}_{p}_{p},0.3505843969147668,0.05310807826831043,-0.3050464004968979,60.0,10.0,0.6
vol_lowtrend_20_60_0.4,vol_lowtrend_{p}_{p}_{p},0.32344210803897155,0.044486002800046665,-0.34958244021748786,20.0,60.0,0.4
vol_lowtrend_60_20_0.5,vol_lowtrend_{p}_{p}_{p},0.32217642815905,0.0445932694922444,-0.38584354108800045,60.0,20.0,0.5
vol_lowtrend_120_60_0.6,vol_lowtrend_{p}_{p}_{p},0.27917065209334496,0.038260467578186796,-0.4284805423922863,120.0,60.0,0.6
vol_lowtrend_60_10_0.5,vol_lowtrend_{p}_{p}_{p},0.2644765817908282,0.03229041932020893,-0.2881293215689802,60.0,10.0,0.5
vol_lowtrend_60_20_0.6,vol_lowtrend_{p}_{p}_{p},0.2529378414033717,0.03183754754899959,-0.3856361118518651,60.0,20.0,0.6
vol_lowtrend_60_20_0.4,vol_lowtrend_{p}_{p}_{p},0.21889093720051492,0.022742944407232457,-0.3798143829381825,60.0,20.0,0.4
vol_lowtrend_60_60_0.6,vol_lowtrend_{p}_{p}_{p},0.1487074509336864,0.008106449025291562,-0.47007154754526126,60.0,60.0,0.6
vol_lowtrend_60_60_0.5,vol_lowtrend_{p}_{p}_{p},0.09623766029091463,-0.0018821747627748575,-0.447329417389588,60.0,60.0,0.5
vol_lowtrend_120_20_0.5,vol_lowtrend_{p}_{p}_{p},0.052745000008893816,-0.008783050441257378,-0.5339814496690999,120.0,20.0,0.5
vol_lowtrend_60_60_0.4,vol_lowtrend_{p}_{p}_{p},0.04023051594170826,-0.010488598734868959,-0.4250172175617666,60.0,60.0,0.4
vol_lowtrend_120_60_0.5,vol_lowtrend_{p}_{p}_{p},0.024777239796524134,-0.016747263628887232,-0.5175032866571787,120.0,60.0,0.5
vol_lowtrend_120_20_0.4,vol_lowtrend_{p}_{p}_{p},-0.07582111782646414,-0.026444794686618533,-0.5659706380525726,120.0,20.0,0.4
vol_lowtrend_120_20_0.6,vol_lowtrend_{p}_{p}_{p},-0.10205746687109288,-0.0464349214555686,-0.6583745436258897,120.0,20.0,0.6
vol_lowtrend_120_10_0.4,vol_lowtrend_{p}_{p}_{p},-0.1264179434240293,-0.033420843542831924,-0.5386856135747555,120.0,10.0,0.4
vol_lowtrend_120_60_0.4,vol_lowtrend_{p}_{p}_{p},-0.13833187045392673,-0.043591682121570496,-0.5280374566724415,120.0,60.0,0.4
vol_lowtrend_120_10_0.5,vol_lowtrend_{p}_{p}_{p},-0.1958190865635685,-0.051822685832272675,-0.6374701074731542,120.0,10.0,0.5
vol_lowtrend_120_10_0.6,vol_lowtrend_{p}_{p}_{p},-0.3502008782421005,-0.09249277652986876,-0.7394106378636245,120.0,10.0,0.6
