feature,ic,abs_ic,ic_tstat,ic_stability,coverage
vol_of_vol_180,0.029922904888005825,0.029922904888005825,1.2743166725962602,0.5674984005118362,0.8344066237350506
drawdown_120,-0.02974774659399161,0.02974774659399161,-1.3481400053731247,0.9245701608430393,0.9448022079116836
distance_high_120,-0.02974774659399161,0.02974774659399161,-1.3481400053731247,0.9245701608430393,0.9448022079116836
ac5_5,0.02963700081029561,0.02963700081029561,1.3783275945598823,0.6490585774058577,0.9949402023919043
ac5_60,-0.0286700904578682,0.0286700904578682,-1.3162452272534144,0.7980613893376414,0.9696412143514259
distance_high_2,-0.028456552324063532,0.028456552324063532,-1.3261359862092827,0.6970327954190526,0.9990800367985281
drawdown_2,-0.028456552324063532,0.028456552324063532,-1.3261359862092827,0.6970327954190526,0.9990800367985281
distance_low_40,0.02830920131341117,0.02830920131341117,1.3076614199850276,0.32501327668613916,0.9816007359705612
ret_90d,-0.0278526968206476,0.0278526968206476,-1.2710768652374327,0.8755458515283843,0.9581416743330267
comp_ret_90,-0.02785269682064756,0.02785269682064756,-1.271076865237431,0.8755458515283843,0.9581416743330267
rolling_kurt_30,-0.027588379353602192,0.027588379353602192,-1.2770263558244597,0.7959830866807611,0.9857405703771849
vol_of_vol_90,0.027500286045683667,0.027500286045683667,1.2278523941443953,0.5398737808376363,0.9172033118675254
ac5_40,-0.02741970115409173,0.02741970115409173,-1.2647586799027513,0.7298881193393714,0.9788408463661453
distance_low_42,0.027411225415191875,0.027411225415191875,1.2655563089140878,0.3423710792131845,0.9806807727690893
vol_of_vol_7,-0.02740956449991675,0.02740956449991675,-1.2737701171114963,0.5652173913043478,0.9935602575896965
is_quarter_2,0.027394155349964186,0.027394155349964186,1.2768822301284457,0.6160249739854319,0.999540018399264
log_ret_sum_120,-0.027187766319152134,0.027187766319152134,-1.2317339947942063,0.8690344062153164,0.9443422263109476
rolling_skew_5,0.02666408082239581,0.02666408082239581,1.2413958350825804,0.5607720396452791,0.9972401103955841
distance_low_60,0.02664840313992891,0.02664840313992891,1.225102442919238,0.3896940418679549,0.9724011039558418
is_first_trading_day,0.026570714133575875,0.026570714133575875,1.2384728758503738,0.5749219562955254,0.999540018399264
ac1_180,0.026400453475932777,0.026400453475932777,1.1781194496550638,0.6714531878230902,0.9162833486660533
ac5_42,-0.02631104747849671,0.02631104747849671,-1.2130138827585055,0.7258666666666667,0.9779208831646734
distance_high_90,-0.025941025336527222,0.025941025336527222,-1.1840599073531666,0.9165302782324058,0.9586016559337627
drawdown_90,-0.025941025336527222,0.025941025336527222,-1.1840599073531666,0.9165302782324058,0.9586016559337627
is_dow_0,-0.025906190745648882,0.025906190745648882,-1.2074780750154153,0.6529656607700313,0.999540018399264
var_ratio_180,0.025757585563186917,0.025757585563186917,1.0968023257200987,0.653870761356366,0.8344066237350506
rolling_sharpe_42,0.02545776411023755,0.02545776411023755,1.1750297623782242,0.4122340425531915,0.9802207911683533
slope_40,0.02533465603442935,0.02533465603442935,1.1701675003255707,0.36537440254912373,0.9816007359705612
ac1_42,-0.025308199956765965,0.025308199956765965,-1.1678476666723352,0.7525279403938265,0.9797608095676172
vol_pct_90,0.025283610302557838,0.025283610302557838,1.081940781462491,0.8406072106261859,0.8426862925482981
rolling_kurt_252,-0.02521935653653716,0.02521935653653716,-1.105120517199399,0.5538922155688623,0.8836246550137995
distance_low_30,0.0251486387945197,0.0251486387945197,1.1642911480020643,0.3380876914949815,0.9862005519779209
slope_42,0.024976841053610022,0.024976841053610022,1.1530889751275952,0.39606592238171184,0.9806807727690893
slope_3,-0.024955187664911258,0.024955187664911258,-1.1625881425467899,0.778125,0.9986200551977921
log_ret_sum_2,-0.024955187664911255,0.024955187664911255,-1.1625881425467897,0.778125,0.9986200551977921
ac1_40,-0.02467567452527507,0.02467567452527507,-1.1391767004132263,0.7017543859649122,0.9806807727690893
n_day_in_month,-0.024520714428625537,0.024520714428625537,-1.1428615813537228,0.6389177939646202,0.999540018399264
rolling_skew_3,0.024386106636500683,0.024386106636500683,1.1357984704953734,0.48045857217300675,0.9981600735970562
rolling_sharpe_40,0.024168954861196273,0.024168954861196273,1.1160315612126317,0.37619553666312433,0.9811407543698252
pre_opec_season_proxy,-0.023911577181993857,0.023911577181993857,-1.1144544604625595,0.5442247658688866,0.999540018399264
week_of_month,-0.023717721700285445,0.023717721700285445,-1.1054142703882923,0.6149843912591051,0.999540018399264
ema_ratio_252,-0.023456557528045232,0.023456557528045232,-1.0932354269926217,0.9183142559833507,0.999540018399264
rolling_skew_30,0.023430779889221792,0.023430779889221792,1.0844619651040843,0.7399577167019028,0.9857405703771849
vol_pct_2,0.023274136119655158,0.023274136119655158,1.0195664328204326,0.5847813061713601,0.8831646734130635
distance_low_252,0.02324836089845697,0.02324836089845697,1.0189675413365196,0.2956313584679832,0.8840846366145354
rolling_kurt_10,-0.02322584936432287,0.02322584936432287,-1.079981106756405,0.7583682008368201,0.9949402023919043
hurst_120,0.023093330580458548,0.023093330580458548,1.0463839911527588,0.831946755407654,0.9448022079116836
ac5_30,-0.022806361373746885,0.022806361373746885,-1.0543130932632325,0.7350291467938527,0.983440662373505
dow_cos,-0.022335349150207535,0.022335349150207535,-1.0409527392347466,0.6113423517169615,0.999540018399264
log_ret_sum_252,-0.022175493145648373,0.022175493145648373,-0.9716672898646825,0.8988023952095808,0.8836246550137995
momentum_vol_adj_42,0.02200747400387488,0.02200747400387488,1.0156947892003987,0.4095744680851064,0.9802207911683533
dow_sin,0.021871288661703184,0.021871288661703184,1.0193144530549667,0.4172736732570239,0.999540018399264
